,Name,Latitude,Longitude
0,Little's Food Store and Grill,33.74923,-84.36784
1,Trader Joe's,33.778754,-84.36702
2,Trader Joe's,33.840953,-84.374985
3,Sevananda Natural Foods Market,33.767123,-84.348642
4,Candler Park Market,33.76511,-84.33349
5,Whole Foods Market,33.840841,-84.381148
6,Whole Foods Market - Atlanta,33.774805,-84.365756
7,Whole Foods Market,33.786399,-84.389
8,Bennett's Market & Deli,33.738964,-84.368152
9,Grant Park Market,33.746595,-84.370839
10,Publix,33.780461,-84.388785
11,Savi Provisions: Inman Park,33.762271,-84.357687
12,The Fresh Market,33.812188,-84.391388
13,Savi Provisions: Roswell Road,33.86185,-84.38109
14,Publix,33.862932,-84.478397
15,Kroger,33.822526,-84.366015
16,Al-Amin Restaurant,33.901426,-84.276426
17,Publix,33.813543,-84.311295
18,Sprouts Farmers Market,33.80681,-84.36631
19,Brito Supermarket,33.836796,-84.337173
